Tip Matrice,Nr threads,Timp executie
,4,0
,4,
,4,16
,4,0
,4,0
,4,0
,4,1.1822
,4,,,
,4,1.12954
,4,2.08248
,4,2.38017
,4,0
,4,0
,4,0
,4,26.87782
,4,27.27707
,4,27.51579
,4,28.29506
,4,26.51906
,4,25.19226
,4,28.08001
,4,25.12334
,4,27.15272
,4,25.19353
,4,21.92464
,4,20.82898
,4,24.42846
,4,25.46981
,4,35.81068
,4,37.3647
,4,3.1368
,4,1.57353
,4,0
,4,1.32924
,4,1.86309
,4,5.36222
,4,3.92453
,4,3.56579
,4,7.62291
,4,4.6758
,4,4.23356
,4,3.16994
,4,3.15717
,4,5.38074
,4,5.41613
,4,4.228
,4,9.28331
,4,5.47311
,4,4.10491
,4,3.59876
,4,3.47598
,4,1545.48057
,4,5.59829
